feature_set,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
baseline_price_only,10,10.0,64,21,0.015823465976572734,0.015028962007770773,0.0072907837427713075,0.00853268223380143,0.007738178264999467,0.7945039688019606,0.11485835592885558,0.7619047619047619
baseline_price_only,10,10.0,65,21,0.0036168105888306832,0.002959473332780403,0.001318214640675903,0.0022985959481547804,0.001641258692104501,0.6573372560502794,0.061219557151770375,0.6190476190476191
baseline_price_only,10,10.0,66,21,0.0017658627853481147,0.0010888951811901658,0.0009786929888283113,0.0007871697965198035,0.00011020219236185442,0.6769676041579487,0.07926337176471993,0.6190476190476191
baseline_price_only,10,10.0,67,21,-0.0007626528573729125,-0.0014640372906779904,0.00032130356279992,-0.0010839564201728321,-0.0017853408534779104,0.7013844333050783,0.005218165174444327,0.5238095238095238
baseline_price_only,10,10.0,68,21,0.007236197849513583,0.0064491602316572305,0.004706776245767743,0.0025294216037458415,0.0017423839858894876,0.7870376178563541,0.009591310093800499,0.7619047619047619
baseline_price_only,10,10.0,69,21,0.004800494778745386,0.004141109403173567,0.0022582988805321023,0.0025421958982132843,0.0018828105226414654,0.6593853755718188,0.07779912419356418,0.5238095238095238
baseline_price_only,10,10.0,70,21,0.004894261792559128,0.004243745960488085,0.0005636516200005992,0.004330610172558528,0.0036800943404874864,0.6505158320710418,0.06882996383694412,0.5714285714285714
baseline_price_only,10,10.0,71,21,0.001358926920950748,0.0006389505412852432,0.0012489540680309524,0.00010997285291979512,-0.0006100035267457092,0.7199763796655044,0.006812428528026882,0.5714285714285714
baseline_price_only,10,10.0,72,21,0.0021016610636524417,0.0013391257180522353,0.002171937528327753,-7.027646467531156e-05,-0.0008328118102755183,0.7625353456002069,0.010257031259251002,0.6190476190476191
baseline_price_only,10,10.0,73,21,0.0006755369950549893,-4.46021369567742e-05,0.0004538266849976935,0.00022171031005729594,-0.0004984288219544677,0.7201391320117637,0.04457592079047691,0.47619047619047616
