cap_band,horizon_bars,top_n,cost_bps,fold_id,n_rebalances,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,mean_turnover,ic,hit_rate
small,10,10,25.0,13,12,-0.007576079681040655,-0.009313133743800408,-0.00985435583786704,0.002278276156826385,0.0005412220940666314,0.6948216251039018,0.14276576694822632,0.5
small,10,10,25.0,14,12,-0.002709486981427891,-0.004702054303768331,-0.016915965051839957,0.014206478070412072,0.012213910748071629,0.7970269289361779,0.08838738400137329,0.5
small,10,10,25.0,15,12,0.03994751203416258,0.038164327785233126,0.023611523126855643,0.01633598890730694,0.014552804658377494,0.7132736995717771,0.120653940311727,0.75
small,10,10,25.0,16,12,0.029329731392044724,0.027532039042027914,0.021756149563177247,0.007573581828867468,0.005775889478850668,0.7190769400067207,0.08480000348640952,0.75
small,10,10,25.0,17,12,0.005145988718248334,0.0035503405703101935,-0.00024887395125684455,0.005394862669505176,0.0037992145215670365,0.6382592591752559,0.07859431885973953,0.5833333333333334
small,10,10,25.0,18,12,0.012082417495943193,0.010256321880120036,-0.0019339486589472635,0.014016366154890457,0.0121902705390673,0.7304382463292615,0.11228301497584789,0.6666666666666666
small,10,10,25.0,19,12,0.00401903161402628,0.0023719697308736253,0.0012245149438785865,0.0027945166701476946,0.0011474547869950403,0.6588247532610622,0.09804609315797895,0.4166666666666667
small,10,10,25.0,20,12,0.022566302468024633,0.02099276659431375,0.018326550800170014,0.004239751667854616,0.002666215794143735,0.6294143494843522,0.08442489404996109,0.5833333333333334
small,10,10,25.0,21,12,0.019056178474753004,0.01704719094213981,0.010970394821111833,0.008085783653641168,0.006076796121027974,0.8035950130452783,0.10635168878419637,0.5833333333333334
small,10,10,25.0,22,12,0.000747173314326775,-0.0011209281926350002,-0.00727758664614479,0.008024759960471566,0.006156658453509792,0.7472406027847099,0.10871530836802955,0.4166666666666667
small,10,10,25.0,23,12,0.023993448323172,0.022014912054378347,0.008150836245137382,0.015842612078034616,0.013864075809240962,0.7914145075174606,0.10889844080078023,0.6666666666666666
small,10,10,25.0,24,12,-0.012807103982909686,-0.014719607815555804,-0.019082418627807077,0.0062753146448973965,0.004362810812251278,0.7650015330584469,0.09021110939869921,0.25
small,10,10,35.0,0,12,8.871994294873571e-06,-0.0019200816269575106,0.00167609862292174,-0.0016672266286268647,-0.0035961802498792514,0.5511296060721099,0.02576017302971006,0.4166666666666667
small,10,10,35.0,1,12,0.00373683662935766,0.0013579290806059506,0.0020303231459089595,0.0017065134834487001,-0.0006723940653030102,0.6796878710719172,0.00429186510821868,0.5833333333333334
small,10,10,35.0,2,12,-0.0024133953047174883,-0.004664679641040365,-0.008734028555429632,0.006320633250712144,0.004069348914389269,0.6432240960922503,0.06784419188156719,0.4166666666666667
small,10,10,35.0,3,12,0.00961569860304969,0.007586964286617687,0.01484190173690355,-0.005226203133853861,-0.0072549374502858645,0.5796383761234297,0.06691004325833312,0.6666666666666666
small,10,10,35.0,4,12,0.042534889110123174,0.04015565924045503,0.02778839125408805,0.014746497856035127,0.012367267986366974,0.6797799627623299,0.09284408057509358,0.6666666666666666
small,10,10,35.0,5,12,0.0009782550083488554,-0.0014242063086846717,-0.007304236296764396,0.008282491305113252,0.005880029988079723,0.6864175191524365,0.13557774953858787,0.4166666666666667
small,10,10,35.0,6,12,0.022048773890366687,0.019577402594275244,0.007382565696178668,0.014666208194188018,0.012194836898096575,0.7061060845975549,0.06231436705094071,0.5833333333333334
small,10,10,35.0,7,12,0.010991862319635897,0.00865559504537066,0.009550369965508882,0.0014414923541270143,-0.0008947749201382206,0.6675049355043529,0.07774423127563819,0.6666666666666666
small,10,10,35.0,8,12,0.02616529880309808,0.02360993444787395,0.007022202547675349,0.01914309625542273,0.016587731900198605,0.7301041014926071,0.15052097878090448,0.8333333333333334
small,10,10,35.0,9,12,0.021718523266859902,0.019199605211463886,0.00732125617078479,0.014397267096075117,0.011878349040679095,0.7196908729702912,0.16341697916970807,0.6666666666666666
small,10,10,35.0,10,12,0.01637867425263005,0.01409377543942956,0.002420717163357143,0.013957957089272909,0.01167305827607242,0.6528282323429968,0.11543841777161781,0.6666666666666666
small,10,10,35.0,11,12,-0.015903633084764123,-0.018436895658644703,-0.025155366862868355,0.009251733778104227,0.006718471204223651,0.7237893068230224,0.05499421245276088,0.16666666666666666
small,10,10,35.0,12,12,0.01586737000730054,0.013297009543726493,0.0007834508540705611,0.01508391915322998,0.012513558689655936,0.7343887038782992,0.11879322125206891,0.75
small,10,10,35.0,13,12,-0.007576079681040655,-0.010007955368904309,-0.00985435583786704,0.002278276156826385,-0.0001535995310372699,0.6948216251039018,0.14276576694822632,0.5
small,10,10,35.0,14,12,-0.002709486981427891,-0.005499081232704509,-0.016915965051839957,0.014206478070412072,0.011416883819135448,0.7970269289361779,0.08838738400137329,0.5
small,10,10,35.0,15,12,0.03994751203416258,0.03745105408566136,0.023611523126855643,0.01633598890730694,0.013839530958805716,0.7132736995717771,0.120653940311727,0.75
small,10,10,35.0,16,12,0.029329731392044724,0.026812962102021196,0.021756149563177247,0.007573581828867468,0.005056812538843947,0.7190769400067207,0.08480000348640952,0.75
small,10,10,35.0,17,12,0.005145988718248334,0.002912081311134941,-0.00024887395125684455,0.005394862669505176,0.0031609552623917832,0.6382592591752559,0.07859431885973953,0.5833333333333334
small,10,10,35.0,18,12,0.012082417495943193,0.009525883633790774,-0.0019339486589472635,0.014016366154890457,0.01145983229273804,0.7304382463292615,0.11228301497584789,0.6666666666666666
small,10,10,35.0,19,12,0.00401903161402628,0.0017131449776125625,0.0012245149438785865,0.0027945166701476946,0.0004886300337339781,0.6588247532610622,0.09804609315797895,0.4166666666666667
small,10,10,35.0,20,12,0.022566302468024633,0.020363352244829398,0.018326550800170014,0.004239751667854616,0.002036801444659384,0.6294143494843522,0.08442489404996109,0.5833333333333334
small,10,10,35.0,21,12,0.019056178474753004,0.01624359592909453,0.010970394821111833,0.008085783653641168,0.005273201107982698,0.8035950130452783,0.10635168878419637,0.5833333333333334
small,10,10,35.0,22,12,0.000747173314326775,-0.0018681687954197092,-0.00727758664614479,0.008024759960471566,0.005409417850725083,0.7472406027847099,0.10871530836802955,0.4166666666666667
small,10,10,35.0,23,12,0.023993448323172,0.021223497546860884,0.008150836245137382,0.015842612078034616,0.013072661301723507,0.7914145075174606,0.10889844080078023,0.6666666666666666
small,10,10,35.0,24,12,-0.012807103982909686,-0.01548460934861425,-0.019082418627807077,0.0062753146448973965,0.003597809279192831,0.7650015330584469,0.09021110939869921,0.25
small,10,20,10.0,0,12,0.003968785995831133,0.0035056438114570133,0.00167609862292174,0.002292687372909393,0.0018295451885352745,0.46314218437411864,0.02576017302971006,0.4166666666666667
small,10,20,10.0,1,12,0.0039193468944835825,0.003392569795530201,0.0020303231459089595,0.0018890237485746197,0.00136224664962124,0.5267770989533801,0.00429186510821868,0.5833333333333334
